"fthrc","ftsanders","ideo5","pid3","race_white","gender","birthyr"
92,19,3,4,1,1,1954
1,1,3,3,0,1,1993
60,21,4,1,0,2,1990
30,31,5,2,1,2,1958
0,0,3,3,0,1,1973
1,2,4,2,1,2,1966
73,68,3,1,0,2,1987
90,37,3,1,0,1,1967
77,71,2,1,1,2,1996
80,100,1,1,1,2,1981
75,19,4,3,0,1,1978
81,86,3,3,0,1,1951
56,49,3,3,0,2,1979
74,50,4,3,1,1,1977
0,1,3,2,0,2,1982
14,11,3,3,1,2,1950
0,0,5,2,1,1,1970
75,99,1,3,1,1,1967
34,55,3,3,1,1,1952
81,99,2,1,1,2,1991
91,21,2,1,0,1,1980
64,50,2,2,1,1,1956
1,52,6,2,0,2,1979
47,89,6,1,1,2,1995
0,0,5,3,1,1,1971
100,64,6,1,0,2,1964
4,19,4,2,1,1,1974
88,65,2,1,0,1,1963
0,15,4,4,1,1,1988
1,9,4,2,0,1,1988
63,97,4,1,0,2,1990
0,0,5,4,1,2,1982
53,53,4,3,0,1,1997
39,39,3,2,1,2,1965
0,92,3,4,1,1,1959
100,1,1,1,0,2,1991
8,54,3,4,1,2,1984
41,54,4,2,1,2,1979
25,32,4,1,1,1,1989
1,1,3,3,1,1,1981
29,45,6,3,1,2,1959
95,30,3,1,1,2,1964
2,79,4,3,0,1,1944
58,66,2,1,1,1,1988
85,34,1,3,0,2,1989
75,85,2,4,1,2,1993
1,10,4,4,1,1,1996
100,100,6,1,0,2,1994
61,30,6,4,1,1,1973
78,44,2,3,1,1,1975
19,31,3,3,1,2,1997
85,50,2,3,1,2,1940
2,100,6,3,1,2,1973
50,60,4,1,0,1,1951
2,51,3,3,1,2,1977
50,51,6,2,0,2,1994
40,75,2,1,0,2,1995
18,13,4,2,1,1,1967
1,60,6,4,1,2,1957
81,44,1,1,1,2,1987
30,73,2,3,1,1,1981
85,55,4,1,1,1,1980
63,61,3,1,0,1,1968
50,51,3,3,0,1,1985
30,50,3,3,1,1,1960
73,81,1,1,1,1,1993
89,49,2,1,1,2,1947
53,45,3,1,1,2,1985
0,52,4,2,1,1,1952
100,47,3,1,0,1,1960
0,1,4,2,1,1,1980
51,100,2,1,0,2,1977
100,39,3,1,0,2,1975
1,4,4,2,1,2,1962
100,6,3,5,0,2,1975
31,100,2,3,1,2,1958
2,49,3,1,0,2,1983
100,52,4,1,0,1,1961
16,71,3,3,0,1,1996
90,85,1,3,1,1,1984
19,43,5,2,0,2,1969
70,51,3,3,0,2,1956
5,16,4,2,1,1,1990
18,89,3,4,1,1,1967
71,90,1,1,1,1,1954
88,51,3,3,0,1,1986
1,1,4,2,1,2,1942
0,17,4,3,1,1,1964
0,100,2,1,1,1,1957
75,50,2,3,1,2,1981
91,76,4,1,0,2,1947
0,49,3,4,1,1,1984
89,75,4,2,0,1,1976
100,99,3,1,0,1,1961
100,88,6,1,0,1,1953
63,78,3,2,1,2,1966
6,54,3,4,1,2,1976
0,20,4,2,1,1,1975
66,45,3,3,0,1,1983
50,59,4,1,0,2,1968
93,50,6,1,0,1,1997
0,0,4,3,0,1,1964
78,65,1,3,1,1,1991
89,94,2,1,1,2,1954
100,15,1,1,0,2,1968
80,62,3,1,1,1,1956
8,50,3,3,0,1,1989
0,5,5,3,1,1,1957
3,61,3,3,1,1,1950
38,91,2,1,1,2,1975
61,94,2,1,0,2,1997
76,72,1,1,0,2,1996
55,97,4,1,1,1,1972
49,87,3,3,1,2,1997
83,52,3,1,0,2,1996
1,1,3,2,1,1,1989
11,84,3,3,1,2,1993
1,91,3,2,1,2,1997
70,50,2,2,1,1,1962
99,96,1,1,1,1,1972
91,100,2,1,0,2,1973
50,56,3,1,0,2,1992
73,62,6,4,0,2,1997
0,100,1,1,0,1,1978
33,53,4,4,1,2,1959
39,63,3,3,1,2,1979
1,2,4,3,1,2,1970
95,80,2,1,1,1,1944
11,28,6,4,1,1,1982
85,50,6,3,0,1,1997
88,43,2,1,0,1,1983
4,24,4,2,1,1,1987
4,13,6,4,1,1,1994
1,45,3,3,1,1,1990
99,91,4,1,1,2,1937
94,16,3,3,1,1,1984
88,57,3,3,0,2,1978
57,58,3,3,1,1,1984
55,90,2,1,1,2,1996
44,59,3,2,1,2,1981
97,54,4,1,0,1,1974
4,59,4,2,1,1,1970
71,82,1,1,1,2,1993
5,50,3,3,1,2,1960
2,100,3,3,1,1,1990
86,52,6,1,0,1,1987
76,54,6,1,1,1,1957
39,40,1,2,0,1,1990
44,52,3,1,0,1,1975
998,73,2,1,0,2,1954
100,4,2,1,0,2,1957
53,26,3,1,0,2,1988
37,99,3,3,0,2,1995
60,90,2,3,0,1,1974
52,33,3,2,1,1,1968
18,69,6,3,0,1,1963
12,18,5,2,1,1,1970
69,74,3,4,1,1,1990
27,100,3,1,1,1,1974
80,91,1,1,0,2,1961
88,2,6,3,0,1,1988
50,77,1,1,0,1,1996
50,88,6,1,1,2,1959
3,2,5,2,1,2,1988
56,57,3,3,1,1,1981
84,97,1,3,1,2,1977
100,51,5,1,0,1,1976
88,97,4,1,0,2,1972
47,88,1,1,1,2,1987
92,90,6,1,0,2,1982
61,50,6,3,1,2,1951
36,50,4,3,1,2,1980
49,26,3,3,1,2,1980
4,56,3,3,1,2,1996
13,57,3,2,1,2,1977
5,80,3,3,1,1,1959
36,34,4,1,0,1,1989
31,54,3,4,1,1,1973
62,100,2,1,1,2,1987
70,50,2,4,1,1,1985
0,13,5,2,0,1,1995
6,100,3,4,0,2,1987
89,90,2,1,1,1,1954
44,25,3,3,1,2,1959
19,61,4,2,1,2,1962
85,83,1,1,1,2,1987
70,52,3,3,1,2,1963
61,78,1,3,1,2,1925
88,80,1,1,0,1,1959
64,90,1,1,1,2,1992
1,100,6,3,1,1,1991
6,81,3,3,1,2,1956
30,998,6,3,1,2,1959
46,46,3,3,1,2,1952
0,41,3,3,1,1,1947
60,66,3,3,1,1,1976
75,95,1,3,1,1,1970
98,100,2,1,0,2,1943
31,100,3,1,1,1,1941
0,4,4,2,1,2,1931
0,52,4,3,1,2,1946
70,97,1,3,1,1,1979
27,100,1,4,1,1,1988
17,5,4,2,1,1,1982
73,71,3,1,0,2,1976
70,91,1,1,1,1,1956
41,100,2,1,1,1,1989
19,85,2,3,1,2,1997
1,1,5,2,1,1,1984
70,98,1,1,0,2,1978
51,3,3,4,1,2,1973
61,59,3,3,1,1,1966
11,15,5,3,1,2,1975
84,51,1,1,1,1,1990
3,30,5,2,1,1,1976
15,100,3,1,0,2,1992
20,90,6,4,1,2,1990
99,96,2,3,1,1,1954
2,19,4,2,1,1,1955
13,99,6,1,0,2,1989
47,22,2,2,1,2,1960
12,3,4,2,1,2,1948
9,52,6,3,1,1,1995
51,100,3,1,0,1,1983
1,29,5,2,1,1,1994
94,90,1,1,0,2,1995
9,77,6,3,0,2,1982
